Array Size,Elapsed Time,Block Size,Grid Size
1,0.000002,32,0
2,0.000001,32,0
4,0.010241,32,0
8,0.008225,32,0
16,0.009217,32,0
32,0.020481,32,1
64,0.014338,32,2
128,0.015361,32,4
256,0.014338,32,8
512,0.017409,32,16
1024,0.013345,32,32
2048,0.013313,32,64
4096,0.016386,32,128
8192,0.014338,32,256
16384,0.016386,32,512
32768,0.023042,32,1024
65536,0.029956,32,2048
131072,0.031911,32,4096
262144,0.054476,32,8192
524288,0.083094,32,16384
1048576,0.165803,32,32768
