Array Size,Elapsed Time,Block Size,Grid Size
1,0.000000,32,0
2,0.000000,32,0
4,0.000000,32,0
8,0.008192,32,0
16,0.008192,32,0
32,0.021504,32,1
64,0.016384,32,2
128,0.017408,32,4
256,0.015360,32,8
512,0.016384,32,16
1024,0.036864,32,32
2048,0.037888,32,64
4096,0.035872,32,128
8192,0.039936,32,256
16384,0.038912,32,512
32768,0.041152,32,1024
65536,0.048288,32,2048
131072,0.059520,32,4096
262144,0.075264,32,8192
524288,0.114304,32,16384
1048576,0.197472,32,32768
